timestamp,symbol,price,volume,bid,ask,bid_size,ask_size,exchange,conditions
1704106200000000000,AAPL,182.5012,386,182.4681,182.5344,130,38,NASDAQ,""
1704106201000000000,AAPL,182.5086,182,182.4839,182.5332,68,179,NASDAQ,""
1704106202000000000,AAPL,182.4829,326,182.4602,182.5056,158,245,NASDAQ,""
1704106203000000000,AAPL,182.5012,127,182.4709,182.5314,77,164,NASDAQ,""
1704106204000000000,AAPL,182.5213,96,182.4921,182.5505,238,72,NASDAQ,""
1704106205000000000,AAPL,182.5459,274,182.5220,182.5698,67,51,NASDAQ,""
1704106206000000000,AAPL,182.5358,132,182.5187,182.5529,164,65,NASDAQ,""
1704106207000000000,AAPL,182.5321,225,182.5162,182.5480,62,175,NASDAQ,""
1704106208000000000,AAPL,182.5411,303,182.5047,182.5776,137,38,NASDAQ,""
1704106209000000000,AAPL,182.5336,81,182.4926,182.5747,165,85,NASDAQ,""
1704106210000000000,AAPL,182.5649,202,182.5334,182.5964,52,246,NASDAQ,""
1704106211000000000,AAPL,182.5751,451,182.5488,182.6015,27,153,NASDAQ,""
1704106212000000000,AAPL,182.5702,255,182.5568,182.5837,104,76,NASDAQ,""
1704106213000000000,AAPL,182.5754,122,182.5341,182.6167,55,58,NASDAQ,""
1704106214000000000,AAPL,182.5794,113,182.5431,182.6157,36,130,NASDAQ,""
1704106215000000000,AAPL,182.6151,237,182.5994,182.6309,107,164,NASDAQ,""
1704106216000000000,AAPL,182.5955,165,182.5804,182.6105,211,188,NASDAQ,""
1704106217000000000,AAPL,182.6021,279,182.5802,182.6240,34,215,NASDAQ,""
1704106218000000000,AAPL,182.5791,319,182.5521,182.6062,17,198,NASDAQ,""
1704106219000000000,AAPL,182.5478,63,182.5383,182.5573,102,95,NASDAQ,""
1704106220000000000,AAPL,182.5358,367,182.5032,182.5684,120,76,NASDAQ,""
1704106221000000000,AAPL,182.5162,257,182.5015,182.5310,85,125,NASDAQ,""
1704106222000000000,AAPL,182.4967,401,182.4817,182.5118,167,101,NASDAQ,""
1704106223000000000,AAPL,182.5030,439,182.4878,182.5182,175,164,NASDAQ,""
1704106224000000000,AAPL,182.4952,162,182.4514,182.5390,239,56,NASDAQ,""
1704106225000000000,AAPL,182.4597,269,182.4216,182.4978,12,27,NASDAQ,""
1704106226000000000,AAPL,182.4479,322,182.4350,182.4607,115,112,NASDAQ,""
1704106227000000000,AAPL,182.4642,364,182.4258,182.5026,168,133,NASDAQ,""
1704106228000000000,AAPL,182.5154,296,182.5031,182.5277,26,10,NASDAQ,""
1704106229000000000,AAPL,182.5004,232,182.4856,182.5152,109,85,NASDAQ,""
1704106230000000000,AAPL,182.5178,397,182.4734,182.5621,94,182,NASDAQ,""
1704106231000000000,AAPL,182.5568,232,182.5401,182.5735,203,59,NASDAQ,""
1704106232000000000,AAPL,182.5536,85,182.5386,182.5686,69,44,NASDAQ,""
1704106233000000000,AAPL,182.5726,258,182.5277,182.6175,88,244,NASDAQ,""
1704106234000000000,AAPL,182.5721,314,182.5596,182.5846,81,159,NASDAQ,""
1704106235000000000,AAPL,182.5940,190,182.5498,182.6381,177,123,NASDAQ,""
1704106236000000000,AAPL,182.5856,342,182.5425,182.6288,19,195,NASDAQ,""
1704106237000000000,AAPL,182.5570,409,182.5352,182.5788,157,229,NASDAQ,""
1704106238000000000,AAPL,182.5744,98,182.5337,182.6150,95,105,NASDAQ,""
1704106239000000000,AAPL,182.5795,68,182.5689,182.5902,64,104,NASDAQ,""
1704106240000000000,AAPL,182.5724,435,182.5483,182.5966,103,179,NASDAQ,""
1704106241000000000,AAPL,182.5482,302,182.5240,182.5724,81,178,NASDAQ,""
1704106242000000000,AAPL,182.5431,145,182.5316,182.5546,210,214,NASDAQ,""
1704106243000000000,AAPL,182.5588,276,182.5267,182.5908,235,154,NASDAQ,""
1704106244000000000,AAPL,182.5361,268,182.4971,182.5751,228,128,NASDAQ,""
1704106245000000000,AAPL,182.5055,293,182.4795,182.5315,78,16,NASDAQ,""
1704106246000000000,AAPL,182.5046,320,182.4822,182.5271,214,46,NASDAQ,""
1704106247000000000,AAPL,182.4803,454,182.4433,182.5174,208,232,NASDAQ,""
1704106248000000000,AAPL,182.4734,219,182.4527,182.4942,211,120,NASDAQ,""
1704106249000000000,AAPL,182.5048,411,182.4838,182.5259,223,45,NASDAQ,""
1704106250000000000,AAPL,182.5258,492,182.5000,182.5517,87,232,NASDAQ,""
1704106251000000000,AAPL,182.5462,471,182.5016,182.5907,126,126,NASDAQ,""
1704106252000000000,AAPL,182.5527,178,182.5186,182.5867,42,28,NASDAQ,""
1704106253000000000,AAPL,182.5344,494,182.4942,182.5746,164,20,NASDAQ,""
1704106254000000000,AAPL,182.5319,125,182.5113,182.5526,46,54,NASDAQ,""
1704106255000000000,AAPL,182.5338,378,182.5100,182.5575,114,165,NASDAQ,""
1704106256000000000,AAPL,182.5472,179,182.5192,182.5752,88,20,NASDAQ,""
1704106257000000000,AAPL,182.5500,237,182.5223,182.5778,136,30,NASDAQ,""
1704106258000000000,AAPL,182.5386,251,182.5131,182.5641,39,87,NASDAQ,""
1704106259000000000,AAPL,182.5247,440,182.5081,182.5414,19,123,NASDAQ,""
1704106260000000000,AAPL,182.5268,265,182.4932,182.5604,85,54,NASDAQ,""
1704106261000000000,AAPL,182.4957,255,182.4836,182.5079,204,214,NASDAQ,""
1704106262000000000,AAPL,182.4870,360,182.4539,182.5200,243,227,NASDAQ,""
1704106263000000000,AAPL,182.4837,264,182.4431,182.5243,142,93,NASDAQ,""
1704106264000000000,AAPL,182.4961,126,182.4738,182.5184,122,228,NASDAQ,""
1704106265000000000,AAPL,182.4880,339,182.4429,182.5332,90,144,NASDAQ,""
